,ISO,COUNTRY_CODE,STATE_CODE,STATE_ISO,SOURCE,ID,CONCEPT,TITLE,RESUME,PUBLICATION_DATE,URL,DOC_TYPE,SCRAPING_STATUS,TIMESTAMP
14,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31017,LEY,LEY 31017,LEY QUE ESTABLECE MEDIDAS PARA ALIVIAR LA ECONOMÍA FAMILIAR Y DINAMIZAR LA ECONOMÍA NACIONAL EN EL AÑO 2020,2020-05-01,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Texto_Consolidado/31017-TXM.pdf,pdf,,
15,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31018,LEY,LEY 31018,"LEY QUE SUSPENDE EL COBRO DE PEAJES EN LA RED VIAL NACIONAL, DEPARTAMENTAL Y LOCAL CONCESIONADA, DURANTE EL ESTADO DE EMERGENCIA NACIONAL DECLARADO A CAUSA DEL BROTE DEL COVID-19",2020-05-09,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31018-LEY.pdf,pdf,,
16,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31020,LEY,LEY 31020,"LEY QUE DELEGA EN EL PODER EJECUTIVO LA FACULTAD DE LEGISLAR EN MATERIA PENAL, PROCESAL PENAL Y PENITENCIARIA A FIN DE ESTABLECER MEDIDAS PARA EL DESHACINAMIENTO DE ESTABLECIMIENTOS PENITENCIARIOS Y CENTROS JUVENILES POR RIESGO DE CONTAGIO DE VIRUS COVID-19",2020-05-28,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31020-LEY.pdf,pdf,,
17,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31021,LEY,LEY 31021,LEY QUE RECONOCE COMO HÉROES DE BATALLA CONTRA EL CORONAVIRUS A LOS SERVIDORES PÚBLICOS Y MIEMBROS DE ORGANIZACIONES SOCIALES FALLECIDOS A CAUSA DE LA LUCHA CONTRA EL CORONAVIRUS (COVID-19),2020-06-03,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Texto_Consolidado/31021-TXM.pdf,pdf,,
18,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31024,LEY,LEY 31024,LEY QUE DISPONE EL USO DE LA FIRMA DIGITAL EN LA REMISIÓN DE LA INFORMACIÓN A LA COMISIÓN DE PRESUPUESTO Y CUENTA GENERAL DE LA REPÚBLICA DEL CONGRESO DE LA REPÚBLICA,2020-06-16,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31024-LEY.pdf,pdf,,
19,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31025,LEY,LEY 31025,LEY QUE INCORPORA A LA ENFERMEDAD CAUSADA POR EL COVID-19 DENTRO DEL LISTADO DE ENFERMEDADES PROFESIONALES DE LOS SERVIDORES DE LA SALUD,2020-06-18,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31025-LEY.pdf,pdf,,
20,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31026,LEY,LEY 31026,"LEY QUE DECLARA DE URGENTE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA PROMOCIÓN, ELABORACIÓN, ENVASADO, ALMACENAMIENTO, DISTRIBUCIÓN Y ABASTECIMIENTO DEL OXÍGENO MEDICINAL",2020-06-30,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31026-LEY.pdf,pdf,,
21,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31027,LEY,LEY 31027,"LEY QUE MODIFICA LOS ARTÍCULOS 8 Y 9 DEL DECRETO LEGISLATIVO 1156, QUE DICTA MEDIDAS DESTINADAS A GARANTIZAR EL SERVICIO PÚBLICO DE SALUD EN LOS CASOS EN QUE EXISTA UN RIESGO ELEVADO O DAÑO A LA SALUD Y LA VIDA DE LAS POBLACIONES",2020-07-01,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31027-LEY.pdf,pdf,,
22,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31028,LEY,LEY 31028,"LEY QUE DECLARA LA INAPLICABILIDAD DE LAS DISPOSICIONES ESTABLECIDAS EN LA LEY 28094, LEY DE ORGANIZACIONES POLÍTICAS, REFERIDAS A LAS ELECCIONES PRIMARIAS PARA LAS ELECCIONES GENERALES 2021, EN EL MARCO DE LA EMERGENCIA NACIONAL SANITARIA OCASIONADA POR LA COVID - 19",2020-07-14,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31028-LEY.pdf,pdf,,
23,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31029,LEY,LEY 31029,"LEY QUE FACULTA A LAS COOPERATIVAS LA REALIZACIÓN DE SESIONES NO PRESENCIALES DE ASAMBLEA GENERAL, CONSEJOS Y COMITÉS",2020-07-14,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31029-LEY.pdf,pdf,,
24,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31030,LEY,LEY 31030,LEY POR LA QUE SE MODIFICAN NORMAS DE LA LEGISLACIÓN ELECTORAL PARA GARANTIZAR PARIDAD Y ALTERNANCIA DE GÉNERO EN LAS LISTAS DE CANDIDATOS,2020-07-23,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31030-LEY.pdf,pdf,,
